re,x,y,u_ref
100,0.5,1.0000,1.00000
100,0.5,0.9766,0.84123
100,0.5,0.9688,0.78871
100,0.5,0.9609,0.73722
100,0.5,0.9531,0.68717
100,0.5,0.8516,0.23151
100,0.5,0.7344,0.00332
100,0.5,0.6172,-0.13641
100,0.5,0.5000,-0.20581
100,0.5,0.4531,-0.21090
100,0.5,0.2813,-0.15662
100,0.5,0.1719,-0.10150
100,0.5,0.1016,-0.06434
100,0.5,0.0703,-0.04775
100,0.5,0.0625,-0.04192
100,0.5,0.0547,-0.03717
100,0.5,0.0000,0.00000
400,0.5,1.0000,1.00000
400,0.5,0.9766,0.75837
400,0.5,0.9688,0.68439
400,0.5,0.9609,0.61756
400,0.5,0.9531,0.55892
400,0.5,0.8516,0.29093
400,0.5,0.7344,0.16256
400,0.5,0.6172,0.02135
400,0.5,0.5000,-0.11477
400,0.5,0.4531,-0.17119
400,0.5,0.2813,-0.32726
400,0.5,0.1719,-0.24299
400,0.5,0.1016,-0.14612
400,0.5,0.0703,-0.10338
400,0.5,0.0625,-0.09266
400,0.5,0.0547,-0.08186
400,0.5,0.0000,0.00000
1000,0.5,1.0000,1.00000
1000,0.5,0.9766,0.65928
1000,0.5,0.9688,0.57492
1000,0.5,0.9609,0.51117
1000,0.5,0.9531,0.46604
1000,0.5,0.8516,0.33304
1000,0.5,0.7344,0.18719
1000,0.5,0.6172,0.05702
1000,0.5,0.5000,-0.06080
1000,0.5,0.4531,-0.10648
1000,0.5,0.2813,-0.27805
1000,0.5,0.1719,-0.38289
1000,0.5,0.1016,-0.29730
1000,0.5,0.0703,-0.22220
1000,0.5,0.0625,-0.20196
1000,0.5,0.0547,-0.18109
1000,0.5,0.0000,0.00000
