re,x,y,v_ref
100,1.0000,0.5,0.00000
100,0.9688,0.5,-0.05906
100,0.9609,0.5,-0.07391
100,0.9531,0.5,-0.08864
100,0.9453,0.5,-0.10313
100,0.9063,0.5,-0.16914
100,0.8594,0.5,-0.22445
100,0.8047,0.5,-0.24533
100,0.5000,0.5,0.05454
100,0.2344,0.5,0.17527
100,0.2266,0.5,0.17507
100,0.1563,0.5,0.16077
100,0.0938,0.5,0.12317
100,0.0781,0.5,0.10890
100,0.0703,0.5,0.10091
100,0.0625,0.5,0.09233
100,0.0000,0.5,0.00000
400,1.0000,0.5,0.00000
400,0.9688,0.5,-0.12146
400,0.9609,0.5,-0.15663
400,0.9531,0.5,-0.19254
400,0.9453,0.5,-0.22847
400,0.9063,0.5,-0.23827
400,0.8594,0.5,-0.44993
400,0.8047,0.5,-0.38598
400,0.5000,0.5,0.05186
400,0.2344,0.5,0.30174
400,0.2266,0.5,0.30203
400,0.1563,0.5,0.28124
400,0.0938,0.5,0.22965
400,0.0781,0.5,0.20920
400,0.0703,0.5,0.19713
400,0.0625,0.5,0.18360
400,0.0000,0.5,0.00000
1000,1.0000,0.5,0.00000
1000,0.9688,0.5,-0.21388
1000,0.9609,0.5,-0.27669
1000,0.9531,0.5,-0.33714
1000,0.9453,0.5,-0.39188
1000,0.9063,0.5,-0.51500
1000,0.8594,0.5,-0.42665
1000,0.8047,0.5,-0.31966
1000,0.5000,0.5,0.02526
1000,0.2344,0.5,0.32235
1000,0.2266,0.5,0.33075
1000,0.1563,0.5,0.37095
1000,0.0938,0.5,0.32627
1000,0.0781,0.5,0.30353
1000,0.0703,0.5,0.29012
1000,0.0625,0.5,0.27485
1000,0.0000,0.5,0.00000
