benchmark,run_type,baseline_method,candidate_method,metric,valid_n,paired_improvement_percent_mean,paired_difference_mean,paired_difference_std,paired_difference_ci95_low,paired_difference_ci95_high,paired_t_stat,paired_t_p_value,wilcoxon_stat,wilcoxon_p_value
lid_driven_cavity,smoke,vanilla,vara,u_rel_l2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,v_rel_l2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,p_rel_l2_centered,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,omega_rel_l2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,u_rmse,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,v_rmse,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,p_rmse_centered,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,omega_rmse,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,u_pred_mean,4,-0.000247232,-4.47035e-08,0,-4.47035e-08,-4.47035e-08,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,v_pred_mean,4,0.0437965,3.96371e-06,0,3.96371e-06,3.96371e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,p_pred_std_centered,4,-0.000165615,-3.27826e-07,0,-3.27826e-07,-3.27826e-07,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,speed_pred_mean,4,0.000544268,3.03984e-06,0,3.03984e-06,3.03984e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,speed_pred_max,4,-9.51819e-05,-9.53674e-07,0,-9.53674e-07,-9.53674e-07,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,omega_pred_abs_mean,4,0.00194443,2.49147e-05,0,2.49147e-05,2.49147e-05,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,omega_pred_abs_max,4,0.0018782,3.26633e-05,0,3.26633e-05,3.26633e-05,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,pde_residual_mean,4,-0.000190316,-3.33786e-06,0,-3.33786e-06,-3.33786e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,centerline_pde_residual_mean,4,-0.000185228,-3.33697e-06,0,-3.33697e-06,-3.33697e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,centerline_continuity_residual_mean,4,-0.000278694,-4.33724e-06,0,-4.33724e-06,-4.33724e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,corner_pde_residual_mean,4,-0.0001935,-3.06964e-06,0,-3.06964e-06,-3.06964e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,corner_boundary_error,4,0.00044708,4.76837e-06,0,4.76837e-06,4.76837e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,continuity_residual_mean,4,-0.000276105,-4.05312e-06,0,-4.05312e-06,-4.05312e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,momentum_residual_mean,4,0.000310336,2.74181e-06,0,2.74181e-06,2.74181e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,boundary_condition_error,4,0.000588785,5.24521e-06,0,5.24521e-06,5.24521e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,u_boundary_rmse,4,0.000619656,5.06639e-06,0,5.06639e-06,5.06639e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,v_boundary_rmse,4,0.000496065,2.44379e-06,0,2.44379e-06,2.44379e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,boundary_speed_rmse,4,0.0005932,5.66244e-06,0,5.66244e-06,5.66244e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,u_centerline_rmse,4,0.00128243,6.55913e-06,0,6.55913e-06,6.55913e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,v_centerline_rmse,4,0.00047574,2.97706e-06,0,2.97706e-06,2.97706e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,u_centerline_rel_l2,4,0.00128243,1.43557e-05,0,1.43557e-05,1.43557e-05,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,v_centerline_rel_l2,4,0.00047574,2.23161e-05,0,2.23161e-05,2.23161e-05,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,centerline_extrema_error,4,-0.000733907,-1.33514e-05,0,-1.33514e-05,-1.33514e-05,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,centerline_profile_score,4,0.000838542,9.53619e-06,0,9.53619e-06,9.53619e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,cavity_benchmark_score,4,-4.04797e-05,-3.2192e-06,0,-3.2192e-06,-3.2192e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,lid_corner_boundary_error,4,0.00044708,4.76837e-06,0,4.76837e-06,4.76837e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,near_wall_residual_proxy,4,-0.000207605,-3.48687e-06,0,-3.48687e-06,-3.48687e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,full_field_u_rmse,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,full_field_v_rmse,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,full_field_p_rmse_centered,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,full_field_omega_rmse,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,unweighted_data_loss,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lid_driven_cavity,smoke,vanilla,vara,unweighted_pde_loss,4,-0.000419483,-1.3113e-05,0,-1.3113e-05,-1.3113e-05,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,unweighted_bc_loss,4,0.00117746,1.07288e-05,0,1.07288e-05,1.07288e-05,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,unweighted_validation_loss,4,-5.90557e-05,-2.38419e-06,0,-2.38419e-06,-2.38419e-06,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,final_total_loss,4,-0.360045,-0.16605,0,-0.16605,-0.16605,inf,0,0,0.125
lid_driven_cavity,smoke,vanilla,vara,J_score,4,-3217.64,-14.1082,0,-14.1082,-14.1082,inf,0,0,0.125
